Review,Rating
"""Great experience.""",5.0
"""Had a very good time working with my teammates and manager.""",4.0
"""I worked for Accenture since 2007 and is an excellent place to work.""",4.0
"""I have worked for Dillard's for 20 months. It is a high-end department store with a variety of clothing items to choose from. I worked in Ladies' shoes,  within the first nine months I sold $244,000.00 in lady shoes, and over the next nine months, I sold $365,000.00 in shoe sales, making me one of their top earners.""",5.0
"""GPP Goodrich People Philosophy which was a culture instilled among workforce""",4.5
"""Deloitte is a large consulting organization that regularly challenges its employees to grow.  Practitioners are given roles that may be outside their comfort zone, but they have the opportunity to grow and learn from those experiences.  There is a huge focus on both creating value for the client, and building the capabilities of their people. Because of its a fairly flat structure, it can be easy to ""get lost"" in the enormity of what to focus on to grow their careers, and a strong mentor is needed to navigate the environment and know what to prioritize. People who are outgoing, comfortable with change, comfortable with ambiguity, and are self-starters often find this an ideal environment.""",4.0
"""Good Agency, they were great to work with.""",4.0
"""Working at DuPont on a contract has been a great experience at learning more about a company with various types of businesses coming together to make the best products in chemical engineering""",5.0
"""Hertz is a good company to work for""",5.0
"""This company provides good environment to work and excellent tools. There are incentives to improve yourself with online course and conferences.""",4.5
"""Great business to work for if you have a strong work ethic, with good pay.""",4.0
"""We have great team work and positive culture!""",4.5
"""I’ve worked for McDonald’s for 3 years and let it go because it was time for a new career so I ended up working at Dicks Sporting Goods start in March 2019 and worked there tell July 20 because I was getting ready to go to college. Dicks Sporting goods only hired me to work there in the summer time so now I’m currently unemployed and looking for a new career.""",4.0
"""This was my first time in a NOC role and I really enjoyed it. Being able to work with the client Bank of America was exciting and I'm hoping to get into this kind of role again. It was a temporary assignment that ended after 3 months.""",4.0
"""Great company to work for with good benefits.""",5.0
"""Great company to start your career.""",5.0
"""Great place to work they do a lot for there employees""",4.0
"""In less than a year and a half BMS has proven why it is one of the 50 best places to work as determined in a recent survey on companies in NJ. The products made by BMS truly have a huge impact on the lives of their patients. I think that working for a company that makes products like this breeds a certain type of employee culture to want to help more. This makes people very ambitious about what they do.""",4.0
"""Great company to start your career and then move to another company in order to grow.""",5.0
"""I've been working at Dick's Sporting Goods for a total of 4 years. I have learned a lot during my time at Dick's Sporting Goods. For example putting the customer first is always the main priority.""",4.5
"""Great job for professional development in sales and customer service.""",4.0
"""I have the power to directly influce a guest's stay and and empowered to ensure that they enjoy it.""",4.0
"""GTE was a great place to work. The direction from top down was outstanding.""",4.5
"""I've done two contract periods with GE Energy in Atlanta.  GE is a good and global company that does a lot of contracting.  The facility and area in Atlanta were pleasant.  The development team was spread all over the globe which brought challenges in the development, but the ability of virtual meetings sufficed in coordination, direction, and status.""",4.5
"""It was a wonderful experience while I was working at Humana.""",5.0
"""Great company and nice work environment.""",4.0
"""Fannie Mae allows all citizens to live the American dream of homeownership.  The employees are the cream of the crop.  The company sets standards for the industry.  I was very proud to be an employee at Fannie Mae.  The benefits were exceptional and the pay the fair - I only say fair because while it was in conservatorship we could not get raises.""",4.0
